Predicted_FRP,FRP_1_days_ago
-2.0911622,-2.0
-2.0911622,-2.0
-2.0904007,-2.0
-2.0904007,-2.0
-2.0904007,-2.0
-2.0891986,-2.0
-2.0891986,-2.0
-2.0769944,-2.0
-2.0769944,-2.0
-2.0769944,-2.0
-2.0643098,-2.0
-2.0643098,-2.0
-2.0506134,-2.0
-2.0506134,-2.0
-2.0506134,-2.0
-2.0388484,-2.0
-2.0388484,-2.0
-2.0208662,-2.0
-2.0208662,-2.0
-2.0208662,-2.0
-1.9750686,-2.0
-1.9750686,-2.0
-1.9255458,-2.0
-1.9255458,-2.0
-1.9255458,-2.0
-1.9037437,-2.0
-1.9037437,-2.0
-1.8938735,-2.0
-1.8938735,-2.0
-1.8938735,-2.0
-1.8939321,-2.0
-1.8939321,-2.0
-1.8939114,-2.0
-1.8939114,-2.0
-1.8939114,-2.0
-1.8929453,-2.0
-1.8929453,-2.0
-1.8847675,-2.0
-1.8847675,-2.0
-1.8847675,-2.0
-1.8783787,-2.0
-1.8783787,-2.0
-1.8756585,-2.0
-1.8756585,-2.0
-1.8756585,-2.0
-1.8695065,-2.0
-1.8695065,-2.0
-1.8722868,-2.0
-1.8722868,-2.0
-1.8722868,-2.0
-1.8941562,-2.0
-1.8941562,-2.0
-1.8939879,-2.0
-1.8939879,-2.0
-1.8939879,-2.0
-1.8938868,-2.0
-1.8938868,-2.0
-1.9087335,-2.0
-1.9087335,-2.0
-1.9087335,-2.0
-1.8983219,-2.0
-1.8983219,-2.0
-1.896132,-2.0
-1.896132,-2.0
-1.896132,-2.0
-1.9001017,-2.0
-1.9001017,-2.0
-1.9184487,-2.0
-1.9184487,-2.0
-1.9184487,-2.0
-1.9853053,-2.0
-1.9853053,-2.0
-2.0073943,-2.0
-2.0073943,-2.0
-2.0073943,-2.0
-2.0591547,-2.0
-2.0591547,-2.0
-2.066,-2.0
-2.066,-2.0
-2.066,-2.0
-2.0490503,-2.0
-2.0490503,-2.0
-2.0782802,-2.0
-2.0782802,-2.0
-2.0782802,-2.0
-2.0917041,-2.0
-2.0917041,-2.0
-2.0984643,-2.0
-2.0984643,-2.0
-2.0984643,-2.0
-2.10519,-2.0
-2.10519,-2.0
-2.0935943,-2.0
-2.0935943,-2.0
-2.0935943,-2.0
-2.089649,-2.0
-2.089649,-2.0
-2.091141,-2.0
-2.091141,-2.0
-2.091141,-2.0
-2.091496,-2.0
-2.091496,-2.0
-2.0912418,-2.0
-2.0912418,-2.0
-2.0912418,-2.0
-2.0994782,-2.0
-2.0994782,-2.0
-2.1105754,-2.0
-2.1105754,-2.0
-2.1105754,-2.0
-2.1130757,-2.0
-2.1130757,-2.0
-2.1133633,-2.0
-2.1133633,-2.0
-2.1133633,-2.0
-2.1257987,-2.0
-2.1257987,-2.0
-2.1248863,-2.0
-2.1248863,-2.0
-2.1248863,-2.0
-2.1241338,-2.0
-2.1241338,-2.0
-2.1224482,-2.0
-2.1224482,-2.0
-2.1224482,-2.0
-2.1271782,-2.0
-2.1271782,-2.0
-2.1223593,-2.0
-2.1223593,-2.0
-2.1223593,-2.0
-2.13334,-2.0
-2.13334,-2.0
-2.1408792,-2.0
-2.1408792,-2.0
-2.1408792,-2.0
-2.1273947,-2.0
-2.1273947,-2.0
-2.1248796,-2.0
-2.1248796,-2.0
-2.1248796,-2.0
-1.9629999,-2.0
-1.9629999,-2.0
-1.960258,-2.0
-1.960258,-2.0
-1.960258,-2.0
-1.9520116,-2.0
-1.9520116,-2.0
-1.945895,-2.0
-1.945895,-2.0
-1.945895,-2.0
-1.9405835,-2.0
-1.9379938,-2.0
-2.1416714,-2.0
-2.1416714,-2.0
-2.1416714,-2.0
-2.1570807,-2.0
-2.1570807,-2.0
-2.1113565,-2.0
-2.1113565,-2.0
-2.1113565,-2.0
-2.1004412,-2.0
-2.1004412,-2.0
-2.1342282,-2.0
-2.1342282,-2.0
-2.1342282,-2.0
-2.1568742,-2.0
-2.1568742,-2.0
-2.137929,-2.0
-2.137929,-2.0
-2.137929,-2.0
-2.112031,-2.0
-2.112031,-2.0
-2.09783,-2.0
-2.09783,-2.0
-2.09783,-2.0
-2.078498,-2.0
-2.078498,-2.0
-2.0793517,-2.0
-2.0675035,-2.0
-2.0864525,-2.0
-1.7872806,0.5155214985884345
-1.9084064,-2.0
-0.9207789,-2.0
-1.7086675,-2.0
-1.9188194,-2.0
-1.9218072,-2.0
-1.9218072,-2.0
-1.926763,-2.0
-1.926763,-2.0
-1.9270129,-2.0
-1.9535972,-2.0
-1.9535972,-2.0
-1.9512036,-2.0
-1.9514914,-2.0
-1.9514914,-2.0
-1.9799807,-2.0
-1.9799807,-2.0
-2.0190895,-2.0
-2.0190895,-2.0
-2.0190895,-2.0
-2.0125973,-2.0
-2.0125973,-2.0
-2.000146,-2.0
-2.000146,-2.0
-2.000146,-2.0
-1.9894335,-2.0
-1.9894482,-2.0
-2.0113428,-2.0
-2.0113428,-2.0
-2.0116482,-2.0
-2.0149467,-2.0
-2.0149467,-2.0
-1.9999909,-2.0
-1.9999909,-2.0
-1.9999909,-2.0
-1.9826186,-2.0
-1.9826186,-2.0
-1.9781353,-2.0
-1.9783119,-2.0
-1.9781353,-2.0
-1.9738883,-2.0
-1.9735618,-2.0
-1.9724154,-2.0
-1.9724154,-2.0
-1.9724154,-2.0
-1.9669642,-2.0
-1.9669642,-2.0
-1.9724655,-2.0
-1.9724655,-2.0
-1.9724655,-2.0
-1.9709327,-2.0
-1.9709327,-2.0
-1.9587213,-2.0
-1.9587213,-2.0
-1.9587213,-2.0
-1.9518561,-2.0
-1.949746,-2.0
-1.9435916,-2.0
-1.9435916,-2.0
-1.9435916,-2.0
-1.9354777,-2.0
-1.9354777,-2.0
-1.918065,-2.0
-1.9199238,-2.0
-1.9199238,-2.0
-1.9030752,-2.0
-1.9030752,-2.0
-1.9065534,-2.0
-1.9065534,-2.0
-1.9065534,-2.0
-1.8895459,-2.0
-1.8895459,-2.0
-1.887172,-2.0
-1.887172,-2.0
-1.8823549,-2.0
-1.8759689,-2.0
-1.8808668,-2.0
-1.8737763,-2.0
-1.8737763,-2.0
-1.8737763,-2.0
-1.8847858,-2.0
-1.8847858,-2.0
-1.8959298,-2.0
-1.8945773,-2.0
-1.8945773,-2.0
-1.8779895,-2.0
-1.8779895,-2.0
-1.8910244,-2.0
-1.886342,-2.0
-1.886342,-2.0
-1.8874464,-2.0
-1.8940104,-2.0
-1.893853,-2.0
-1.8926973,-2.0
-1.8926973,-2.0
-1.8921432,-2.0
-1.8921432,-2.0
